station;to station;azimuth;distance m
Frey;Wilmer;227.048772222222000;15810.360
Frey;Taylor KS;317.442344444444000;21279.670
Vine Creek;North Pole Mound;49.002519444444400;25183.040
Vine Creek;Thompson;84.969341666666700;38181.140
Iron Mound;North Pole Mound;152.299252777778000;18113.490
Iron Mound;Vine Creek;197.963808333333000;34253.500
Salina East Base;Iron Mound;345.772694444444000;7481.140
Salina East Base;Salina West Base;68.650838888888900;6552.450
Salina West Base;North Pole Mound;177.482875000000000;11179.660
Salina West Base;Iron Mound;301.454511111111000;9313.810
North Pole Mound;Heath;72.706577777777800;40084.510
North Pole Mound;Thompson;124.556400000000000;23142.190
Thompson;Heath;37.358300000000000;31563.720
Thompson;Lincoln;95.694241666666700;23471.890
Heath;Wilson;93.408116666666700;38094.100
Heath;Golden Belt;123.769419444444000;26820.240
Lincoln;Heath;351.114102777778000;27737.760
Lincoln;Golden Belt;55.231177777777800;21934.930
Golden Belt;Wilson;51.049811111111100;20182.610
Golden Belt;Meades Ranch;143.355588888889000;34001.330
Wilson;Bunker Hill;92.450500000000000;18940.560
Wilson;Meades Ranch;173.324063888889000;40232.350
Meades Ranch;Bunker Hill;19.961886111111100;41661.110
Meades Ranch;Waldo;75.471255555555600;25783.110
Bunker Hill;Allen;71.089805555555600;15253.900
Bunker Hill;Waldo;161.715861111111000;34407.650
Waldo;Allen;5.442780555555560;37789.350
Waldo;Blue Hill;48.976336111111100;30876.870
Allen;Fairmount;34.496405555555600;20400.250
Allen;Blue Hill;131.333419444444000;26260.110
Fairmount;La Crosse;68.739638888888900;24757.560
Fairmount;Hays;138.994625000000000;35254.180
Blue Hill;Fairmount;346.414086111111000;35118.520
Blue Hill;Hays;63.126586111111100;16714.450
La Crosse;Hays;179.739777777778000;35581.720
Smoky Hill;Hays;228.964863888889000;31841.320
Smoky Hill;La Crosse;301.142802777778000;28377.880
Trego;Hays;266.759661111111000;31832.070
Trego;Smoky Hill;337.858480555556000;20651.830
Skaggs;Trego;200.678319444444000;28595.980
Skaggs;Smoky Hill;246.907247222222000;19465.490
Big Creek;Trego;277.746883333333000;23506.360
Big Creek;Skaggs;336.145877777778000;32735.530
